Taxon,Trunk,Lower jaw ratio,Neck ratio,Tail ratio,Brachial ind.,Crural ind.,Fore/hind ratio,Humeral flare,Femoral flare,Forelimb ratio,Hindlimb ratio,Manus ratio,Pes ratio,Manus AR,Pes AR,Manus/pes ratio,Time,Group_1,Time_2,Time_3,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Group_1,Group_2
Albertonectes vanderveldei,188,0.246,3.723,1.29,0.313,0.245,1.053,0.565,0.589,0.741,0.717,0.471,0.467,5.069,5.16,1.039,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,3.891881517,1.793727006,0.109187501,1.11657284,-2.22328461,Sauropterygia,Elasmosauridae
Archaeonectrus rostratus,95.6,0.649,0.941,1.237,0.319,0.316,0.975,0.399,0.471,0.694,0.805,0.366,0.449,4.347,5.244,0.801,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,2.23451966,0.616325223,-1.222725006,0.104214477,0.487742212,Sauropterygia,Basal_plesiosauroidea
Atopodentatus unicus,78.5785,0.1527,0.4506,1.7333,0.3778,0.6163,1.3081,0.2844,0.1971,0.5599,0.5409,0.1794,0.2241,2.48,2.9805,0.7708,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,-0.672867236,-1.157674562,0.294994578,-0.406395863,-1.391633397,Sauropterygia,NA
Attenborosaurus conybeari,125.6,0.422,1.539,1.339,0.38,0.298,1,0.432,0.419,0.885,0.81,0.467,0.433,4.118,3.135,0.885,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,2.427546055,0.410187869,-0.0062566,-0.636372964,-0.513689185,Sauropterygia,Pliosauridae
Atychodracon megacephalus,124.41,0.661,1.094,1.321,0.399,0.344,0.953,0.543,0.465,0.822,0.91,0.438,0.554,5.126,5.599,0.681,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,3.11316812,0.955653265,-0.741481249,0.586406897,1.044232411,Sauropterygia,Basal_plesiosauroidea
Stenorhynchosaurus munozi,145,0.78,0.483,1.063,0.079,0.082,0.812,0.33,0.293,1.113,1.213,0.62,0.61,5.934,5.94,1.036,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,5.294834256,1.151990385,-2.027765982,-0.968360214,1.604296259,Sauropterygia,Pliosauridae
Brancasaurus brancai,75.9,0.395,1.818,0.997,NA,0.243,1.093,0.545,0.577,NA,NA,NA,NA,NA,NA,NA,Cretaceous,Sauropterygia,Early_Cretaceous,Ladinian-EndCretaceous,NA,NA,NA,NA,NA,NA,NA
Ceresiosaurus calcagnii,54.5,0.385,0.747,1.67,0.456,0.521,1.45,0.245,0.192,0.647,0.582,0.201,0.259,2.364,3.389,0.864,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,-0.352603877,-1.069523031,0.047169368,-0.824398071,-0.650678095,Sauropterygia,Nothosauroidea
Cryptoclidus eurymerus,99,0.36,1.091,0.926,0.232,0.275,0.79,0.639,0.74,0.949,1.021,0.601,0.566,4.287,4.285,1.128,Jurassic,Sauropterygia,Mid_Jurassic,Ladinian-EndCretaceous,3.664631868,1.468451119,0.360345832,-0.403938641,-0.070144045,Sauropterygia,Criptoclididae
Diandongosaurus acutidentatus,7.77,0.367,0.933,1.615,0.544,0.522,0.735,0.254,0.222,0.563,0.834,0.198,0.337,2.487,2.652,0.369,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,0.199720803,-2.29756513,-0.258417137,-0.356602926,-0.744888371,Sauropterygia,Basal_eosauropterygia
Dianmeisaurus gracilis,6.64,0.353,0.891,1.981,0.576,0.446,0.817,0.307,0.132,0.576,0.636,0.196,0.233,2.427,2.514,0.734,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,-0.448317781,-2.207017064,-0.478812884,-0.46812253,-0.875584315,Sauropterygia,Basal_eosauropterygia
Dianopachysaurus dingi,3.75,0.712,1.084,0.964,0.5,0.429,0.714,0.364,0.186,NA,0.813,NA,0.281,NA,2.454,NA,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,NA,NA,NA,NA,NA,NA,NA
Dolichorhynchops osborni,91.8,0.61,0.558,0.826,0.107,0.148,1.018,0.5,0.567,0.886,0.913,0.48,0.5,3.635,3.4,0.863,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,2.708973915,1.224871292,-0.932537696,-1.680405076,0.259057284,Sauropterygia,Leptocleidia
Glyphoderma kangi,26.4,0.423,0.22,1.836,0.622,0.841,1.117,0.303,0.328,0.625,NA,0.225,NA,NA,NA,NA,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,NA,NA,NA,NA,NA,NA,NA
Hauffiosaurus zanoni,82,0.524,1.134,1.165,0.302,0.284,0.925,0.391,0.36,0.995,0.949,0.498,0.435,4.452,3.344,0.984,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,2.895059092,0.194781857,-0.343846447,-1.197946219,0.166931837,Sauropterygia,Pliosauridae
Henodus chelyops,57,0.254,0.249,0.605,0.527,0.673,0.921,0.432,0.465,NA,NA,NA,NA,NA,NA,NA,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,NA,NA,NA,NA,NA,NA,NA
Hydrotherosaurus alexandrae,140,0.336,3.179,0.829,0.282,0.25,1.083,0.692,0.658,1.07,1.119,0.849,0.798,6.881,6.659,1.095,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,6.926212357,2.686034461,1.261190903,0.844353525,-0.089647343,Sauropterygia,Elasmosauridae
Keichousaurus hui,5.7,0.453,1.196,2.071,0.487,0.357,1.183,0.252,0.135,0.816,0.7,0.247,0.282,2.009,1.876,0.715,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,0.102698462,-1.950095994,-0.199494737,-1.742614997,-0.544053753,Sauropterygia,Pachypleurosauria
Kronosaurus boyacensis,282.5,0.857,0.393,1.064,0.15,0.128,0.818,0.402,0.41,0.651,0.685,0.371,0.401,5.577,6.333,0.974,Cretaceous,Sauropterygia,Early_Cretaceous,Ladinian-EndCretaceous,2.82852976,2.287450731,-3.335508882,0.749767876,0.697864567,Sauropterygia,Pliosauridae
Lariosaurus balsami,26,0.406,0.665,1.252,0.521,0.465,0.79,0.278,0.146,0.523,0.689,0.165,0.215,2.248,3.032,0.793,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,-0.421714718,-1.843478379,-0.753833184,-0.527982942,-1.062175601,Sauropterygia,Nothosauroidea
Lariosaurus valceresii,27.6,0.395,0.811,1.264,0.486,0.455,0.955,0.234,0.12,0.519,0.527,0.171,0.171,2.636,2.426,0.915,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,-0.702223811,-1.581315665,-0.695182312,-0.83441837,-1.275616452,Sauropterygia,Nothosauroidea
Lariosaurus xingyiensis,48.12,0.397,0.558,0.714,0.53,0.437,0.758,0.309,0.186,0.352,0.465,0.138,0.168,2.746,2.692,0.662,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,-0.987862227,-1.196953302,-0.977518207,-0.206707085,-1.580887717,Sauropterygia,Nothosauroidea
Libonectes atlasense,135,0.333,2.963,1.074,0.367,0.34,0.978,0.997,0.765,0.991,0.945,0.715,0.661,5.145,5.409,1.229,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,4.838049029,2.644031734,1.466087959,0.859211062,-0.333245534,Sauropterygia,Elasmosauridae
Liopleurodon ferox,181,0.657,0.406,0.58,0.163,0.175,0.75,0.551,0.538,0.591,0.785,0.337,0.453,4.592,5.998,0.723,Jurassic,Sauropterygia,Mid_Jurassic,Ladinian-EndCretaceous,2.560492429,1.847800289,-2.263699268,0.570991176,0.013092325,Sauropterygia,Pliosauridae
Meyerasaurus victor,92.71,0.448,0.878,1.194,0.34,0.313,1.079,0.476,0.433,1.324,1.238,0.698,0.692,4.477,4.438,1.011,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,4.734879134,0.535903034,1.047660372,-1.300195589,1.122414288,Sauropterygia,Basal_plesiosauroidea
Microcleidus brachypterygius,59.97,0.36,2.255,1.719,0.362,0.379,1.046,0.488,0.5,1.197,1.232,0.657,0.706,4.501,4.967,0.955,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,5.020900967,0.158921527,1.26781385,-0.435004975,0.455512082,Sauropterygia,Microcleididae
Morenosaurus stocki,200,0.246,1.735,0.815,0.31,0.267,1.039,0.757,0.728,0.692,0.669,0.466,0.452,4.937,4.821,1.041,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,2.732564596,2.594975916,0.23640144,1.005997475,-1.380253349,Sauropterygia,Elasmosauridae
Muraenosaurus leedsii ,140.7,0.291,1.41,0.999,0.308,0.237,1.061,0.606,0.547,0.628,0.607,0.374,0.384,4.569,5.001,1.038,Jurassic,Sauropterygia,Mid_Jurassic,Ladinian-EndCretaceous,2.057411463,1.616965509,-0.409989591,0.654784709,-1.316877145,Sauropterygia,Criptoclididae
Neusticosaurus edwardsii,27.8,0.243,0.546,1.977,0.55,0.573,1.705,0.243,0.247,0.471,0.553,0.204,0.287,3.254,3.859,0.596,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,-0.631520558,-1.017324354,0.718676912,-0.000572728,-0.509699147,Sauropterygia,Pachypleurosauria
Neusticosaurus peyeri,8.1,0.406,0.642,2.284,0.505,0.511,1.145,0.322,0.154,0.619,0.658,0.176,0.269,2.637,3.88,0.629,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,-0.255944451,-1.819887115,-0.436516586,-0.186973116,-0.110405887,Sauropterygia,Pachypleurosauria
Neusticosaurus pusillus,8.3,0.349,0.639,1.789,0.548,0.492,0.995,0.342,0.124,0.575,0.641,0.204,0.272,3.83,3.445,0.505,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,0.040373837,-1.620955089,-0.317564183,0.074631036,-0.403983428,Sauropterygia,Pachypleurosauria
Nichollssaura borealis,67.2,0.458,1.027,1.135,0.191,0.19,0.975,0.564,0.55,0.804,0.841,0.441,0.461,4.096,4.544,1.014,Cretaceous,Sauropterygia,Early_Cretaceous,Ladinian-EndCretaceous,2.676763851,1.047485222,-0.690574788,-0.578296514,-0.222886655,Sauropterygia,Leptocleidia
Nothosaurus giganteus,103,0.558,0.65,1.49,0.506,0.485,0.94,0.249,0.206,0.545,0.589,0.2,0.22,2.072,2.407,0.962,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,-0.69867164,-1.20921511,-0.96867792,-0.782033691,-0.5735591,Sauropterygia,Nothosauroidea
Nothosaurus youngi,43.5,0.474,0.647,1.271,0.558,0.496,0.909,0.309,0.134,0.513,0.663,0.207,0.247,1.82,2.594,0.999,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,-0.669117616,-1.669546099,-0.522230555,-0.848952688,-0.778775674,Sauropterygia,Nothosauroidea
Paraplacodus broilii,30.5,0.416,0.295,2.836,0.642,0.706,1.148,0.356,0.229,0.804,0.777,0.283,0.311,2.166,2.718,1.035,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,-0.533585894,-2.131546541,0.684356632,-0.502958115,0.909042002,Sauropterygia,Placodontia
Peloneustes philarchus,135,0.589,0.459,0.996,0.197,0.201,0.864,0.553,0.443,0.696,0.822,0.363,0.43,3.945,5.211,0.943,Jurassic,Sauropterygia,Mid_Jurassic,Ladinian-EndCretaceous,2.247224982,1.137636862,-1.675457591,-0.136017857,0.046423242,Sauropterygia,Pliosauridae
Placodus gigas,70.7,0.258,0.194,2.314,NA,0.689,NA,NA,0.221,NA,0.509,0.232,0.174,NA,NA,NA,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,NA,NA,NA,NA,NA,NA,NA
Placodus inexpectatus,60,0.3,0.18,1.838,0.556,0.711,1.052,0.303,0.259,0.567,0.672,0.177,0.258,2.149,2.513,0.553,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,-1.012197177,-1.808408341,0.400237764,-0.21124693,-0.443272558,Sauropterygia,Placodontia
Plesiopterys wildi,53,0.279,1.632,1.415,0.37,0.306,0.994,0.524,0.512,0.923,0.934,0.485,0.484,4.19,4.169,0.997,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,2.968026333,0.292454706,0.596588828,-0.303379637,-0.549321591,Sauropterygia,Microcleididae
Plesiosaurus sp,87.73,0.247,1.345,0.877,0.428,0.409,1.017,0.493,0.531,0.734,0.703,0.421,0.41,4.624,4.575,1.045,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,2.104635608,0.787510229,0.570274993,0.456973347,-0.958344099,Sauropterygia,Basal_plesiosauroidea
Polycotylus latipinnis,126.67,0.537,0.987,1.021,0.135,0.126,0.95,0.593,0.531,1.045,0.961,0.618,0.542,5.077,4.519,1.159,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,4.117145785,1.816102159,-0.639630772,-0.93823394,0.429933098,Sauropterygia,Leptocleidia
Psephochelys polyosteoderma,21.4,0.41,0.16,2.029,0.528,0.844,1.178,0.112,0.4,0.634,0.733,0.233,0.353,2.263,2.372,0.457,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,-0.682168965,-2.058059893,0.799916919,-0.55959281,0.529978481,Sauropterygia,Placodontia
Psephoderma alpinum,49.2,0.419,0.201,2.27,0.359,0.827,1.028,0.668,0.336,0.584,0.678,0.187,0.308,1.851,2.268,0.451,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,-1.05827095,-1.183771466,0.257281066,-0.282610364,0.401069792,Sauropterygia,Placodontia
Rhomaleosaurus cramptoni,205.2,0.536,0.848,0.845,0.308,0.336,0.97,0.481,0.462,0.793,0.838,0.423,0.49,4.403,5.161,0.875,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,2.749412052,1.387241758,-0.771184267,0.280404552,-0.030036422,Sauropterygia,Basal_plesiosauroidea
Seeleyosaurus guilelmiimperatoris,84,0.248,1.607,1.528,0.375,0.379,1.057,0.479,0.479,0.942,1.033,0.484,0.595,2.688,3.845,0.946,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,2.928690834,-0.213149666,1.013108077,-0.696549061,-0.673482532,Sauropterygia,Microcleididae
Serpianosaurus mirigiolensis,14.7,0.477,0.628,2.286,0.587,0.558,1.063,0.335,0.161,0.541,0.574,0.164,0.246,3.025,3.413,0.503,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,-0.695570533,-1.826070254,-0.537917501,0.112792757,0.136534468,Sauropterygia,Pachypleurosauria
Sinocyamodus xinpuensis,39,0.372,0.256,1.338,0.613,0.741,0.957,0.342,0.181,0.64,0.766,0.2,0.276,1.683,1.981,0.616,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,-0.936756384,-2.10163845,0.667349575,-0.775955459,-0.369818823,Sauropterygia,Placodontia
Styxosaurus sp,210,0.21,2.762,0.648,0.329,0.288,1.041,0.697,0.671,0.79,0.824,0.571,0.61,5.868,6.854,1.026,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,4.799065131,2.727065784,0.607195476,1.809750228,-1.468677074,Sauropterygia,Elasmosauridae
Thalassiodracon hawkinsii,41.62,0.458,1.447,1.569,0.341,0.332,0.99,0.472,0.421,1.046,1.103,0.596,0.627,5.301,5.117,0.872,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,4.313330075,0.249590829,0.342625112,-0.277108366,0.882405485,Sauropterygia,Pliosauridae
Thalassomedon haningtoni,308,0.156,1.977,0.396,0.295,0.261,1,0.659,0.584,0.537,0.52,0.369,0.349,5.081,5.129,1.125,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,2.380525037,2.898470384,-0.387411319,1.622490862,-2.734863885,Sauropterygia,Elasmosauridae
Wangosaurus brevirostris,56.4,0.474,1.508,1.863,0.56,0.39,0.96,0.319,0.13,0.693,0.773,0.234,0.303,2.205,2.744,0.74,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,0.418721919,-1.756925552,-0.491638351,-0.766781499,-0.759740793,Sauropterygia,Pistosauroidea
Wumengosaurus delicatomandibularis,30.9,0.303,0.462,1.87,0.557,0.505,0.972,0.341,0.672,0.465,0.517,0.163,0.217,2.558,3.768,0.829,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,-0.954760003,-0.682306219,-0.074443798,0.637509246,-0.673754314,Sauropterygia,Basal_eosauropterygia
Yunguisaurus liae,85.6,0.312,1.521,1.923,0.564,0.588,1.081,0.311,0.333,0.729,0.928,0.313,0.55,3.003,4.124,0.445,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,1.74868885,-1.320884482,0.768371817,0.37559628,-0.324429154,Sauropterygia,Pistosauroidea
Barracudasauroides panxianensis,34.97,0.563,0.061,1.123,0.644,0.751,1.533,0.731,0.786,0.341,0.208,0.211,0.129,2.315,2.455,2.836,Triassic,Ichthyosauromorpha,Mid_Triassic,Induan-Anisian,-3.14249515,1.457680227,1.018425837,-0.269768649,0.406371404,Ichthyosauromorpha,Early_intermediate
Besanosaurus leptorhynchus,172.4,0.296,0.07,1.616,0.708,0.831,1.157,1.052,0.819,0.406,0.348,0.273,0.229,4.563,4.239,1.315,Triassic,Ichthyosauromorpha,Mid_Triassic,Ladinian-EndCretaceous,-1.421255095,2.151435004,1.366111491,2.611505741,0.407805141,Ichthyosauromorpha,Late_intermediate
Cartorhynchus lenticarpus,10,0.554,0.142,2.9,0.744,0.859,1.604,0.821,0.678,0.48,0.291,0.282,0.15,2.809,2.419,3.045,Triassic,Ichthyosauromorpha,Early_Triassic,Induan-Anisian,-3.080038008,0.591783549,1.409052524,0.135586581,1.772382011,Ichthyosauromorpha,Basal
Caypullysaurus bonapartei,273.1,0.5397,0.1665,1.1206,0.3048,0.3343,1.424,0.6721,0.5404,0.3003,0.1156,0.2234,0.0573,3.717,1.3394,5.4762,Cretaceous,Ichthyosauromorpha,Early_Cretaceous,Ladinian-EndCretaceous,-2.358629004,3.425394764,-1.371225469,-1.201668542,-1.181076493,Ichthyosauromorpha,Ophthalmosauridae
Chaohusaurus brevifemoralis,31.28,0.366,0.049,1.256,0.935,1.211,1.561,0.677,0.69,0.309,0.261,0.185,0.156,2.445,2.77,1.598,Triassic,Ichthyosauromorpha,Early_Triassic,Induan-Anisian,-3.647245907,0.093182116,2.866214334,1.215967967,0.612347189,Ichthyosauromorpha,Basal
Chaohusaurus chaoxianensis,17.5,0.529,0.115,1.698,0.935,1.035,1.479,0.712,0.691,0.398,0.309,0.213,0.183,2.668,3.21,1.629,Triassic,Ichthyosauromorpha,Early_Triassic,Induan-Anisian,-3.108779761,0.137999092,2.074975299,1.113400658,1.336210517,Ichthyosauromorpha,Basal
Cryopterygius kristiansenae,207.8,0.669,0.079,0.931,0.29,0.268,1.384,0.716,0.741,0.232,0.118,0.15,0.048,2.577,1.355,5.163,Jurassic,Ichthyosauromorpha,Late_Jurassic,Ladinian-EndCretaceous,-2.946986642,3.382497816,-1.681300085,-1.508625431,-0.975786015,Ichthyosauromorpha,Ophthalmosauridae
Eretmophis carroldongi,30.115,0.2047,0.1783,1.9431,0.8187,0.7696,1.5935,0.6886,0.6163,0.4888,0.3307,0.2379,0.1854,1.4742,1.4706,1.6432,Triassic,Ichthyosauromorpha,Early_Triassic,Induan-Anisian,-3.03493148,-0.212592662,2.445427537,-0.184494217,-0.323637126,Ichthyosauromorpha,Hupehsuchia
Eurhinosaurus longirostris,160.9,0.426,0.055,1.787,0.52,0.43,1.34,0.917,0.834,0.513,0.423,0.362,0.315,3.609,5.642,2.061,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,-0.239603432,2.651653698,0.177944592,1.434242722,0.519787495,Ichthyosauromorpha,Early_Jurassic_Neoichthyosauria
Excalibosaurus costini,144.64,0.684,0.104,2.127,0.531,0.372,1.409,0.965,0.788,0.512,0.209,0.368,0.12,3.826,2.037,5.028,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,-2.147351294,3.22315213,-0.371020475,-0.704404701,1.012670687,Ichthyosauromorpha,Early_Jurassic_Neoichthyosauria
Guanlingsaurus lingae,262.5,0.286,0.143,1.032,0.624,0.804,1.388,0.956,0.89,0.431,0.305,0.304,0.212,4.086,4.883,2.458,Triassic,Ichthyosauromorpha,Late_Triassic,Ladinian-EndCretaceous,-1.249212283,3.34087648,1.377991164,2.238119154,-0.227335138,Ichthyosauromorpha,Late_intermediate
Guizhouichthyosaurus tangae,175.1,0.456,0.136,1.401,0.64,0.667,1.171,0.965,0.747,0.517,0.443,0.39,0.351,5.093,6.397,1.551,Triassic,Ichthyosauromorpha,Late_Triassic,Ladinian-EndCretaceous,0.275430732,2.61108289,0.620950074,2.604631524,1.064707897,Ichthyosauromorpha,Late_intermediate
Hauffiopteryx typicus,60,0.642,0.077,1.376,0.459,0.382,1.516,0.868,0.722,0.371,0.142,0.238,0.073,3.005,1.476,5.27,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,-3.030872268,2.720056763,-0.362730999,-1.584273893,0.137677266,Ichthyosauromorpha,Early_Jurassic_Neoichthyosauria
