,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Time,Time_2,Locomotion,Group_1,Group_2,Name,Num
Albertonectes vanderveldei,0.487369545,4.551620367,-0.954573824,0.990457321,-2.25090853,Cretaceous,1,Sauropterygia,Reptile,Amniotes,Al.va,1
Archaeonectrus rostratus,0.173975899,2.065125741,-1.384622686,0.406597541,0.480073706,Jurassic,1,Sauropterygia,Reptile,Amniotes,Ar.ro,2
Atopodentatus unicus,-0.08701217,-0.929065849,-0.415135268,-0.183123197,-1.656518243,Triassic,1,Sauropterygia,Reptile,Amniotes,At.un,3
Attenborosaurus conybeari,-0.145142964,2.352574659,-0.686913995,-0.603465726,-0.632753993,Jurassic,1,Sauropterygia,Reptile,Amniotes,Att.co,4
Atychodracon megacephalus,0.077911477,3.01395346,-1.119747298,0.72120075,0.981001549,Jurassic,1,Sauropterygia,Reptile,Amniotes,Aty.me,5
Ceresiosaurus calcagnii,-0.252473195,-0.650296605,-0.485496271,-0.588133167,-0.913175171,Triassic,1,Sauropterygia,Reptile,Amniotes,Ce.ca,6
Cryptoclidus eurymerus,0.216816373,3.654214655,-0.15620962,-0.241264183,-0.11665973,Jurassic,1,Sauropterygia,Reptile,Amniotes,Cr.eu,7
Diandongosaurus acutidentatus,-1.410538953,-0.905846465,-1.193675711,-0.307657357,-0.834736779,Triassic,1,Sauropterygia,Reptile,Amniotes,Di.ac,8
Dianmeisaurus gracilis,-1.017951584,-1.288550477,-1.378626858,-0.539753871,-0.949530478,Triassic,1,Sauropterygia,Reptile,Amniotes,Di.gr,9
Dolichorhynchops osborni,0.438121006,2.490297944,-0.848483867,-1.235417323,0.323945504,Cretaceous,1,Sauropterygia,Reptile,Amniotes,Do.os,10
Hauffiosaurus zanoni,-0.600946915,2.531820193,-0.909567021,-1.041476229,-0.052405759,Jurassic,1,Sauropterygia,Reptile,Amniotes,Ha.za,11
Hydrotherosaurus alexandrae,-0.282595175,7.310731963,0.024687884,0.690207567,-0.529204295,Cretaceous,1,Sauropterygia,Reptile,Amniotes,Hy.al,12
Keichousaurus hui,-1.111302266,-0.728635536,-1.040518188,-1.769417858,-0.744082682,Triassic,1,Sauropterygia,Reptile,Amniotes,Ke.hu,13
Kronosaurus boyacensis,1.50959337,3.212545177,-2.631153911,1.389376526,1.094212202,Cretaceous,1,Sauropterygia,Reptile,Amniotes,Kr.bo,14
Lariosaurus balsami,-0.863723072,-1.211146652,-1.279650207,-0.285001217,-1.041482816,Triassic,1,Sauropterygia,Reptile,Amniotes,La.ba,15
Lariosaurus valceresii,-0.539626609,-1.215352523,-1.227170645,-0.651706996,-1.365420592,Triassic,1,Sauropterygia,Reptile,Amniotes,La.va,16
Lariosaurus xingyiensis,-0.131237164,-1.386458736,-1.251816203,0.093925297,-1.459723247,Triassic,1,Sauropterygia,Reptile,Amniotes,La.xi,17
Libonectes atlasense,0.657848903,5.654776664,0.328817678,0.49437605,-0.490452689,Cretaceous,1,Sauropterygia,Reptile,Amniotes,Li.at,18
Liopleurodon ferox,1.134042702,2.626558737,-1.787470372,1.231222914,0.4073959,Jurassic,1,Sauropterygia,Reptile,Amniotes,Li.fe,19
Meyerasaurus victor,-1.20837691,4.093326454,0.242193628,-1.146241616,0.710744402,Jurassic,1,Sauropterygia,Reptile,Amniotes,Me.vi,20
Microcleidus brachypterygius,-1.50147746,4.409503026,-0.122937265,-0.597752322,-0.01603792,Jurassic,1,Sauropterygia,Reptile,Amniotes,Mi.br,21
Morenosaurus stocki,1.612996388,3.649303525,-0.146579358,1.151426605,-1.252302142,Cretaceous,1,Sauropterygia,Reptile,Amniotes,Mo.st,22
Muraenosaurus leedsii ,1.086322754,2.523949831,-0.71858527,0.901692672,-1.226843702,Jurassic,1,Sauropterygia,Reptile,Amniotes,Mu.le,23
Neusticosaurus edwardsii,-0.031833183,-0.804175761,-0.022829082,0.15105491,-0.958250897,Triassic,1,Sauropterygia,Reptile,Amniotes,Ne.ed,24
Neusticosaurus peyeri,-0.746086867,-0.950019182,-1.227735966,-0.158252856,-0.325944116,Triassic,1,Sauropterygia,Reptile,Amniotes,Ne.pe,25
Neusticosaurus pusillus,-0.791424885,-0.602883202,-1.177317905,0.083659506,-0.658673714,Triassic,1,Sauropterygia,Reptile,Amniotes,Ne.pu,26
Nichollssaura borealis,0.350290684,2.55724041,-0.955982599,-0.297673892,-0.212794225,Cretaceous,1,Sauropterygia,Reptile,Amniotes,Ni.bo,27
Nothosaurus giganteus,-0.129988479,-1.050382467,-1.264917918,-0.6035801,-0.498805899,Triassic,1,Sauropterygia,Reptile,Amniotes,No.gi,28
Nothosaurus youngi,-0.621912103,-1.312115059,-0.985630457,-0.674209415,-0.754773616,Triassic,1,Sauropterygia,Reptile,Amniotes,No.yo,29
Paraplacodus broilii,-0.864535496,-1.126728041,-0.410928697,-0.782611376,0.533870233,Triassic,1,Sauropterygia,Reptile,Amniotes,Pa.br,30
Peloneustes philarchus,0.661115753,2.115720322,-1.503405336,0.360851162,0.2880781,Jurassic,1,Sauropterygia,Reptile,Amniotes,Pe.ph,31
Placodus inexpectatus,-0.493691783,-1.518701886,-0.383979058,-0.14288354,-0.648673095,Triassic,1,Sauropterygia,Reptile,Amniotes,Pla.in,32
Plesiopterys wildi,-0.490388676,2.704590668,-0.339742568,-0.293655464,-0.770753302,Jurassic,1,Sauropterygia,Reptile,Amniotes,Pl.wi,33
Plesiosaurus sp,0.192692265,2.293260139,-0.114640572,0.592506323,-1.153691249,Jurassic,1,Sauropterygia,Reptile,Amniotes,Ple.sp,34
Polycotylus latipinnis,0.328596193,4.14120632,-0.870999684,-0.676720733,0.357524168,Cretaceous,1,Sauropterygia,Reptile,Amniotes,Po.la,35
Psephochelys polyosteoderma,-0.857362944,-1.323464237,-0.120123491,-0.560887279,0.053913332,Triassic,1,Sauropterygia,Reptile,Amniotes,Ps.po,36
Psephoderma alpinum,0.257820835,-1.223302575,-0.581281971,-0.482069899,0.222869782,Triassic,1,Sauropterygia,Reptile,Amniotes,Pse.al,37
Rhomaleosaurus cramptoni,0.541877265,2.86383115,-0.84260174,0.696877274,0.062400925,Jurassic,1,Sauropterygia,Reptile,Amniotes,Rh.cr,38
Seeleyosaurus guilelmiimperatoris,-0.856614207,2.308125836,0.013256964,-0.644833622,-0.819512685,Jurassic,1,Sauropterygia,Reptile,Amniotes,Se.gu,39
Serpianosaurus mirigiolensis,-0.551142869,-1.230454492,-1.343231455,0.007778881,-0.070304751,Triassic,1,Sauropterygia,Reptile,Amniotes,Se.mi,40
Sinocyamodus xinpuensis,-0.950100549,-1.624171904,-0.121488468,-0.693195769,-0.57168366,Triassic,1,Sauropterygia,Reptile,Amniotes,Si.xi,41
Stenorhynchosaurus munozi,-0.706982118,4.578039518,-2.009289286,-0.410331187,1.498156026,Cretaceous,1,Sauropterygia,Reptile,Amniotes,St.mu,42
Styxosaurus sp,0.741785088,5.521675251,-0.178291107,1.924158833,-1.517594483,Cretaceous,1,Sauropterygia,Reptile,Amniotes,St.sp,43
Thalassiodracon hawkinsii,-1.097290749,3.737485081,-0.668484413,-0.30685718,0.456099239,Jurassic,1,Sauropterygia,Reptile,Amniotes,Tha.ha,44
Thalassomedon haningtoni,2.007784588,3.562808268,-0.544516079,2.00161196,-2.412634411,Cretaceous,1,Sauropterygia,Reptile,Amniotes,Th.ha,45
Wangosaurus brevirostris,-1.055743117,-0.345825879,-1.316195138,-0.783776383,-0.775089901,Triassic,1,Sauropterygia,Reptile,Amniotes,Wa.br,46
Wumengosaurus delicatomandibularis,0.518635093,-0.973992633,-0.547826213,0.73836807,-0.656344589,Triassic,1,Sauropterygia,Reptile,Amniotes,Wu.de,47
Yunguisaurus liae,-1.216745286,0.946454654,-0.419110557,0.324223522,-0.562377695,Triassic,1,Sauropterygia,Reptile,Amniotes,Yu.li,48
Barracudasauroides panxianensis,3.025865777,-1.493907579,1.179658548,-0.358508185,0.327799961,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Ba.pa,49
Besanosaurus leptorhynchus,3.077750932,0.438101196,0.950903061,2.293456741,0.385647483,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Be.le,50
Cartorhynchus lenticarpus,2.59072761,-1.540077358,0.842772009,-0.555017107,1.413534482,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Ca.le,51
Caypullysaurus bonapartei,4.80236351,-0.119783235,-0.35512596,-0.985006553,-0.700802876,Cretaceous,1,Ichthyosauromorpha,Reptile,Amniotes,Ca.bo,52
Chaohusaurus brevifemoralis,1.900077862,-2.182140101,2.181536822,0.871344024,0.117006328,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Ch.br,53
Chaohusaurus chaoxianensis,1.826593214,-1.801132205,1.496582426,0.691418822,0.95115889,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Ch.ch,54
Cryopterygius kristiansenae,4.994503027,-0.809867901,-0.366519145,-1.185187262,-0.31212156,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Cr.kr,55
Eretmophis carroldongi,1.609861397,-2.125330687,1.736657304,-0.518537757,-0.567334651,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Er.ca,56
Eurhinosaurus longirostris,3.085820338,1.239338431,0.348511302,1.474485597,0.729071602,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Eu.lo,57
Excalibosaurus costini,4.549501731,0.166197456,0.157811516,-1.064799463,1.265035951,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Ex.co,58
Guanlingsaurus lingae,3.897342264,1.127693056,1.476933246,2.266794756,-0.135125878,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Gu.li,59
Guizhouichthyosaurus tangae,2.669078053,1.869187199,0.472900791,2.504652348,1.04708616,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Gu.ta,60
Hauffiopteryx typicus,4.342282561,-0.990084643,0.356411197,-1.684767269,0.375654994,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Ha.ty,61
Hupehsuchus nanchangensis,2.017252013,-2.663729856,1.130778573,-0.127916539,0.418560334,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Hu.na,62
Ichthyosaurus communis   ,3.326150166,-0.592546071,-0.80177462,-1.634155478,0.915040222,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Ich.co,63
Ichthyosaurus larkini,2.853501506,-0.501261014,-0.566514179,-0.973402766,-0.152816088,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Ich.la,64
Ichthyosaurus somersetensis,4.104177428,-0.502263567,-0.099531122,-2.08742529,-0.085670784,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Ich.so,65
Leptonectes tenuirostris,3.177464957,0.785480294,0.056727819,-1.921484344,1.520893383,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Le.te,66
Mixosaurus cornalianus,3.626702612,-1.453403195,1.747418596,-1.023335306,0.847303233,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Mi.co,67
Mixosaurus xindianensis,3.490083189,-1.514930318,1.679321312,-1.008211709,0.228402738,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Mi.xi,68
Ophthalmosaurus icenicus,6.34391929,-1.089472924,1.077158308,-2.772396083,-0.220347372,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Oph.ic,69
Phalarodon atavus,3.199620271,-1.98961002,1.601471876,-0.153776613,0.515682147,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Ph.at,70
Platypterygius hercynicus,6.392091589,-0.67733443,0.18604772,-3.616510484,-0.163395378,Cretaceous,1,Ichthyosauromorpha,Reptile,Amniotes,Pl.he,71
Qianichthyosaurus zhoui,1.515562831,0.957322532,0.051131058,0.875452039,0.962965405,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Qi.zh,72
Shonisaurus popularis,3.897241819,2.543241638,-0.015174037,3.232596616,1.629262753,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Sh.po,73
Stenopterygius quadriscissus,3.712669569,-0.550331922,-0.374480468,-1.542381849,0.010187409,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,St.qu,74
Stenopterygius triscissus,3.183590544,0.74205069,-0.199703342,1.564942216,0.897996502,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,St.tr,75
Stenopterygius uniter,3.558412299,0.972593363,-0.044170343,-0.66186626,0.765810186,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,St.un,76
Suevoleviathan integer,2.961491328,0.343943973,-0.371924311,-1.011863225,1.956205035,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Su.in,77
Temnodontosaurus trigonodon,3.560207568,1.30913099,-0.775920282,1.462582859,1.224687773,Jurassic,1,Ichthyosauromorpha,Reptile,Amniotes,Te.tr,78
Utatsusaurus hataii,1.504287539,-2.28402757,0.560139895,1.10406817,-0.080207624,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Ut.ha,79
Xinminosaurus catactes,1.843301046,-1.223293741,0.673461748,1.494906605,-0.57616462,Triassic,1,Ichthyosauromorpha,Reptile,Amniotes,Xi.ca,80
Aigialosaurus bucchichi,-0.189609621,-1.736822882,-1.109145274,0.494929328,-0.053563707,Cretaceous,1,Mosasauroidea,Reptile,Amniotes,Ai.bu,81
Clidastes prophyton,2.634504213,-2.191050121,0.688698584,0.406581452,-0.605758581,Cretaceous,1,Mosasauroidea,Reptile,Amniotes,Cl.pr,82
Halisaurus sternbergii,1.389148804,-1.04064593,-0.175129277,0.916063776,-0.275223536,Cretaceous,1,Mosasauroidea,Reptile,Amniotes,Ha.st,83
Mosasaurus lemonnieri,3.144251611,-0.784124471,0.827090561,1.680800437,-0.429168316,Cretaceous,1,Mosasauroidea,Reptile,Amniotes,Mo.le,84
Platecarpus tympaniticus,2.380192774,-0.87860322,0.677793906,0.930321363,-0.127353271,Cretaceous,1,Mosasauroidea,Reptile,Amniotes,Pla.ty,85
